site,category,jurisdiction,method,contact,outcome,notes
Bouncer,Email verification,US / intl,Email,hello@usebouncer.com,Request sent — awaiting reply,
Clearout,Email verification,US / intl,Email,us@clearout.io,Request sent — awaiting reply,
MillionVerifier,Email verification,HU / EU,Email,support@millionverifier.com,No personal data processed,
Verifalia,Email verification,IT / EU,Email,support@verifalia.com,Does not retain personal data,
AnymailFinder,B2B contact data & lead-gen,UK,Email,legal@anymailfinder.com,Request sent — awaiting reply,
EmailListVerify,Email verification,US / intl,Email,privacy@emaillistverify.com,Request sent — awaiting reply,
DeBounce,Email verification,EU,N/A,debounce.com/contact (form only),⚠️ Needs action,
SalesQL,B2B contact data & lead-gen,US / intl,Email,privacy@salesql.com,Request sent — awaiting reply,
HireEZ,B2B contact data & lead-gen,US / intl,Email,privacy@hireez.com,No data,
Proofy,Email verification,US / intl,Email,support@proofy.io,Request sent — awaiting reply,
MyEmailVerifier,Email verification,US / intl,Email,support@myemailverifier.com,Request sent — awaiting reply,
ProxyCurl / Nubela,B2B contact data & lead-gen,US / intl,Email,hello@nubela.co,Request sent — awaiting reply,privacy@ bounced
QuickEmailVerification,Email verification,US / intl,Email,support@quickemailverification.com,No account,
LeadLeaper,B2B contact data & lead-gen,US / intl,Email,contact@leadleaper.com,Confirmed deleted,
Coldlytics,B2B contact data & lead-gen,US / intl,Email,support@coldlytics.com,Request sent — awaiting reply,
Overloop,B2B contact data & lead-gen,US / intl,Email,support@overloop.ai,Already removed,
BookYourData,B2B contact data & lead-gen,US / intl,Email,gdpr@bookyourdata.com,Request sent — awaiting reply,privacy@ bounced
Kendo,B2B contact data & lead-gen,US / intl,Email,support@kendoemailapp.com,Request sent — awaiting reply,
Dealfront / Leadfeeder,B2B contact data & lead-gen,US / intl,Email,dpo@dealfront.com,Request sent — awaiting reply,
Bombora,B2B contact data & lead-gen,US / intl,Email,dsars@bombora.com,Request sent — awaiting reply,
Enrich.so,B2B contact data & lead-gen,US / intl,Email,team@enrich.so,Request sent — awaiting reply,
Demandbase,B2B contact data & lead-gen,US (EU rep),Email,GDPRrepresentative@demandbase.com,Request sent — awaiting reply,
6sense,B2B contact data & lead-gen,US / intl,Email,DataSubjectRequests@6sense.com,Submitted via Ketch,
Reply.io,B2B contact data & lead-gen,US / intl,Email,dpo@reply.io,No data,
Lemlist,B2B contact data & lead-gen,FR / EU,Email,privacy@lemlist.com,Request sent — awaiting reply,dpo@ bounced
Salesloft,B2B contact data & lead-gen,US / intl,Email,privacy@salesloft.com,Request sent — awaiting reply,
BuiltWith,B2B contact data & lead-gen,US / intl,Email,support@builtwith.com,Request sent — awaiting reply,
Woodpecker.co,B2B contact data & lead-gen,PL / EU,Email,legal@woodpecker.co,Request sent — awaiting reply,
Outreach.io,B2B contact data & lead-gen,US / intl,Email,support@outreach.io,Request sent — awaiting reply,
Yesware,B2B contact data & lead-gen,US / intl,Email,support@yesware.com,Request sent — awaiting reply,
Mailshake,B2B contact data & lead-gen,US / intl,Email,hello@mailshake.com,Request sent — awaiting reply,
SalesIntel,B2B contact data & lead-gen,US / intl,Email,support@salesintel.io,Confirmed removed,
Groove,B2B contact data & lead-gen,US / intl,Email,support@groove.co,Request sent — awaiting reply,
Mixmax,B2B contact data & lead-gen,US / intl,Email,privacy@mixmax.com,Request sent — awaiting reply,
Interseller,B2B contact data & lead-gen,US / intl,Email,privacy@interseller.io,Request sent — awaiting reply,
LeadGenius,B2B contact data & lead-gen,US / intl,Email,optout@leadgenius.com,Request sent — awaiting reply,
Vainu,B2B contact data & lead-gen,US / intl,Email,support@vainu.com,No data,
PhantomBuster,B2B contact data & lead-gen,FR / EU,Email,dpo@thephantomcompany.com,Request sent — awaiting reply,
Evaboot,B2B contact data & lead-gen,FR / EU,Email,privacy@evaboot.com,Request sent — awaiting reply,
Amplemarket,B2B contact data & lead-gen,US / intl,Email,privacy@amplemarket.com,Request sent — awaiting reply,
Prospeo,B2B contact data & lead-gen,US / intl,Self-service,prospeo.io/optout,Added to suppression list,
FastPeopleSearch,People search,US / intl,Email,support@fastpeoplesearch.zendesk.com,Request sent — awaiting reply,
PeopleLooker,People search,US / intl,Email,privacy@peoplelooker.com,No record,
USPhoneBook,People search,US / intl,Email,privacy@usphonebook.com,Request sent — awaiting reply,
Dun & Bradstreet,Major data broker,US / intl,Email,eudpo@dnb.com,Request sent — awaiting reply,
LiveRamp,Ad-tech & audience data,UK / US,Email,ukprivacy@liveramp.com,Request sent — awaiting reply,
Neustar / TransUnion,Major data broker,US / intl,Email,ns_privacy@transunion.com,Request sent — awaiting reply,
Zeta Global,Ad-tech & audience data,US / intl,Email,privacy@zetaglobal.com,Request sent — awaiting reply,
Melissa Data,Major data broker,US / intl,Email,optout@melissa.com,Request sent — awaiting reply,
HG Insights,B2B contact data & lead-gen,US / intl,Email,legal@hginsights.com,Request sent — awaiting reply,
Experian Marketing Services,Major data broker,US / intl,Email,eu.data.privacy@experian.com,No data held,
Lotame,Ad-tech & audience data,US / intl,Email,privacy@lotame.com,Request sent — awaiting reply,
Lead Forensics,B2B contact data & lead-gen,UK,Email,data-compliance@leadforensics.com,No data held,
VoilaNorbert,B2B contact data & lead-gen,US / intl,Email,support@voilanorbert.com,Request sent — awaiting reply,
Albacross,B2B contact data & lead-gen,SE / EU,Email,support@albacross.com,Request sent — awaiting reply,
EmailHippo,Email verification,UK,Email,dpo@emailhippo.com,No records,
BriteVerify / Validity,Email verification,US / intl,Email,privacy@validity.com,Request sent — awaiting reply,
Surfe (ex-Leadjet),B2B contact data & lead-gen,DE / EU,Email,dpo@surfe.com,Request sent — awaiting reply,
Stirista,Ad-tech & audience data,US / intl,Email,privacy@stirista.com,No record; opt-out list,
GetEmail.io,B2B contact data & lead-gen,US / intl,Email,support@getemail.io,Request sent — awaiting reply,contact@ bounced
Oracle Data Cloud / BlueKai,Ad-tech & audience data,US / intl,Email,privacy_ww@oracle.com,Processing,
Criteo,Ad-tech & audience data,FR / EU,Email,dpo@criteo.com,Request sent — awaiting reply,
The Trade Desk,Ad-tech & audience data,US / intl,Email,dpo@thetradedesk.com,Request sent — awaiting reply,
ActiveCampaign,Ad-tech & audience data,US / intl,Email,privacy@activecampaign.com,Request sent — awaiting reply,
Adform,Ad-tech & audience data,DK / EU,Email,privacy@adform.com,Request sent — awaiting reply,
Taboola,Ad-tech & audience data,US / intl,Email,dpo@taboola.com,Request sent — awaiting reply,
Outbrain,Ad-tech & audience data,UK / IL,Email,privacy@outbrain.com,Request sent — awaiting reply,
Quantcast,Ad-tech & audience data,US / intl,Email,privacy@quantcast.com,Request sent — awaiting reply,
Eyeota,Ad-tech & audience data,US / intl,Email,privacy@eyeota.com,Request sent — awaiting reply,
Xandr / Microsoft Advertising,Ad-tech & audience data,UK / US,Web form,aka.ms/privacyresponse,⚠️ Needs action,privacy@microsoft.com bounced — use aka.ms/privacyresponse
LiveIntent,Ad-tech & audience data,US / intl,Email,privacy@liveintent.com,Request sent — awaiting reply,
Magnite / Rubicon Project,Ad-tech & audience data,US (EU rep: Dublin),Email,privacy@magnite.com,Request sent — awaiting reply,
Index Exchange,Ad-tech & audience data,DE / EU,Email,privacy@indexexchange.com,Request sent — awaiting reply,
OpenX,Ad-tech & audience data,US / intl,Email,dpo@openx.com,Acknowledged,
PubMatic,Ad-tech & audience data,US (EU rep: Amsterdam),Email,pubmaticprivacy@pubmatic.com,Request sent — awaiting reply,
Integral Ad Science (IAS),Ad-tech & audience data,US / intl,Email,privacy@integralads.com,Processing,
DoubleVerify,Ad-tech & audience data,US / intl,Email,privacy@doubleverify.com,Request sent — awaiting reply,
Teads,Ad-tech & audience data,US / intl,Email,dpo@teads.com,Request sent — awaiting reply,
Sharethrough,Ad-tech & audience data,US / intl,Email,support@sharethrough.com,Request sent — awaiting reply,
Smart AdServer,Ad-tech & audience data,FR / EU,Email,privacy@smartadserver.com,Request sent — awaiting reply,
Seedtag,Ad-tech & audience data,ES / EU,Email,gdpr@seedtag.com,Request sent — awaiting reply,
Zeotap,Ad-tech & audience data,DE / EU,Email,privacy@zeotap.com,Request sent — awaiting reply,
Emarsys / SAP,Ad-tech & audience data,AT / EU,Email,dataprotection@emarsys.com,Request sent — awaiting reply,
CyberNews Breach Checker,Breach & leak search,LT / EU,Self-service,cybernews.com/data-leak-check-opt-out/,Submitted,
EmailOSINT.org,OSINT / email intelligence,US / intl,Email,privacy@emailosint.org,Confirmed processed,
UserSearch,OSINT / email intelligence,US / intl,Email,hello@usersearch.com,Request sent — awaiting reply,
CheckPeople,People search,US / intl,Email,privacy@checkpeople.com,Request sent — awaiting reply,
Social Searcher,OSINT / email intelligence,US / intl,Email,info@social-searcher.com,No personal data stored,
AbstractAPI,OSINT / email intelligence,US / intl,Email,team@abstractapi.com,Request sent — awaiting reply,
Mailboxlayer,OSINT / email intelligence,AT / EU,Email,support@mailboxlayer.com,Request sent — awaiting reply,
DataBreach.com,Breach & leak search,US / intl,Self-service + Email,contact@databreach.com,Submitted,
Hudson Rock,Threat intelligence,US / intl,Email,hello@hudsonrock.com,Request sent — awaiting reply,
Minelead.io,OSINT / email intelligence,US / intl,Email,support@minelead.io,Request sent — awaiting reply,
PSBDMP,Breach & leak search,US / intl,Email,support@psbdmp.ws,Request sent — awaiting reply,
Flashpoint,Threat intelligence,US / intl,Email,privacy@flashpoint.io,Request sent — awaiting reply,
SEON,OSINT / email intelligence,HU / EU,Email,dpo@seon.io,Request sent — awaiting reply,
Bitsight / Cybersixgill,Threat intelligence,US / intl,Email,privacy@bitsight.com,Request sent — awaiting reply,
ThreatMon,Threat intelligence,US / intl,Email,info@threatmonit.io,Request sent — awaiting reply,dpo@ bounced
IntelFetch,Breach & leak search,SE / EU,Email,dpo@intelfetch.net,Confirmed removed,
CuFinder,B2B contact data & lead-gen,US / intl,Email,support@cufinder.io,Request sent — awaiting reply,privacy@ bounced
EmailSearch.io,OSINT / email intelligence,US / intl,Email,hi@emailsearch.io,Request sent — awaiting reply,
ReachStream,B2B contact data & lead-gen,US / intl,Email,support@reachstream.net,Request sent — awaiting reply,privacy@ bounced
LeakRadar,Breach & leak search,US / intl,Email,contact@leakradar.io,Request sent — awaiting reply,privacy@ bounced
OffSeq Breach,Breach & leak search,US / intl,Email,breach@offseq.com,Request sent — awaiting reply,
Opsis OSINT,OSINT / email intelligence,US / intl,Email,privacy@useopsis.com,Request sent — awaiting reply,
BreachSense,Breach & leak search,US / intl,Email,info@breachsense.com,Request sent — awaiting reply,
Cyble,Threat intelligence,US / intl,Email,dpo@cyble.com,Request sent — awaiting reply,
Logoutify / BreachDirectory.com,Breach & leak search,US / intl,Email,info@breachdirectory.com,No records found,
LeakNix,Breach & leak search,US / intl,Email,info@leaknix.com,Request sent — awaiting reply,support@ bounced
HaveIBeenBreached / Cloaked,Breach & leak search,US / intl,Email,privacy@cloaked.id,No data,
ClarityCheck,OSINT / email intelligence,US / intl,Email,privacy@claritycheck.com,Request sent — awaiting reply,
Digital Footprint Check,Breach & leak search,US / intl,Email,info@digitalfootprintcheck.com,Request sent — awaiting reply,
AccuSights,OSINT / email intelligence,US / intl,Email,support@accusights.com,Request sent — awaiting reply,privacy@ bounced
IntelBase,OSINT / email intelligence,US / intl,Email,support@intelbase.is,Request sent — awaiting reply,
TraceFind,OSINT / email intelligence,US / intl,Email,contact@tracefind.info,Request sent — awaiting reply,
Yell.com,Regional directory,UK,Email,dpo@yell.com,Request sent — awaiting reply,"UK business/people directory, Reg. 4205228"
192.com,Regional directory,UK,Email,privacy@192.com,Request sent — awaiting reply,"Electoral-roll people search; JS-heavy, contact unverified"
Whitepages UK,Regional directory,UK,Email,privacy@whitepages.co.uk,Request sent — awaiting reply,Contact unverified
118118.com,Regional directory,UK,Email,privacy@118118.com,Request sent — awaiting reply,"UK directory enquiries, Cardiff"
Scoot.co.uk,Regional directory,UK,Manual,scoot.co.uk,Needs manual visit,No contact exposed
Cylex UK,Regional directory,UK / DE,Manual,uk.cylex.co.uk,Needs manual visit,No contact exposed
HashKiller,Breach & leak search,UK,Manual,hashkiller.io,Needs manual visit,Hash-cracking community forum
Hashes.org,Breach & leak search,Intl,Manual,hashes.org,Needs manual visit,Hash-cracking community
Yasni.de,Regional directory,DE / EU,Email,datenschutz@yasni.de,Request sent — awaiting reply,German people-search
Das Telefonbuch,Regional directory,DE / EU,Manual,dastelefonbuch.de,Needs manual visit,German phone directory
Herold.at,Regional directory,AT / EU,Manual,herold.at,Needs manual visit,Austrian phone/business directory
Infobel,Regional directory,BE / EU,Manual,infobel.com,Needs manual visit,Pan-European business directory
Lullar,People search,EU,Manual,lullar.com,Needs manual visit,Profile aggregator
ProxyNova,Breach & leak search,US / intl,Email,admin@proxynova.com,Request sent — awaiting reply,Hosts the COMB credential dataset
CheckLeaked.cc,Breach & leak search,US / intl,Email,privacy@checkleaked.cc,Request sent — awaiting reply,JS-only contact page
HackCheck.io,Breach & leak search,US / intl,Email,hackcheck@hackcheck.io,Request sent — awaiting reply,16B+ records; address decoded from Cloudflare obfuscation
CloudSint,OSINT / email intelligence,US / intl,Email,privacy@cloudsint.net,Request sent — awaiting reply,
IDCrawl,People search,US / intl,Web form,idcrawl.com/remove-my-information,Form — user action required,
BehindTheEmail,OSINT / email intelligence,US / intl,Email,contact@behindtheemail.com,Request sent — awaiting reply,
Have I Been Pwned,Breach & leak search,AU,Web form,haveibeenpwned.com/OptOut,Opt-out completed,Per-address email verification; choose public-search removal + breach deletion
Pentester.com,People search,US,Web form,forms.gle (opt-out form),Skipped — low relevance,support@ bounced; form is name/address oriented
Snusbase,Breach & leak search,US / intl,Email,help@snusbase.com,Request sent — awaiting reply,Supports username search
Validity / BriteVerify portal,Email verification,US,Web form,privacyportal.onetrust.com,Form — user action required,OneTrust webform
Exposed.vc,Breach & leak search,Intl,N/A,(domain for sale),Defunct — no action,
WeLeakInfo,Breach & leak search,Intl,N/A,(seized 2021),Defunct — seized by FBI/DOJ,
RaidForums,Breach & leak search,Intl,N/A,(seized 2022),Defunct — seized by FBI,
BreachForums,Breach & leak search,Intl,N/A,(seized 2024),Defunct — seized,
LeakedSource,Breach & leak search,Intl,N/A,(shut down),Defunct — shut down,
Cracked.io,Breach & leak search,Intl,N/A,(seized),Defunct — seized,
Castrick Clues,OSINT / email intelligence,US / intl,N/A,(closed Feb 2026),Defunct — service closed,
FootprintIQ,OSINT / email intelligence,US / intl,N/A,footprintiq.app,No action — client-side only,"Ephemeral scans, no server storage"
Forensic OSINT,OSINT / email intelligence,US / intl,N/A,forensicosint.com,No action — client-side only,100% client-side
Analyst Research Tools,OSINT / email intelligence,US / intl,N/A,analystresearchtools.com,No action — link aggregator only,
